mr,taxonomy,n_values
324,A,"3461,6922,7291,8203,9229,9721,10384,10937,12305,12961,13844,13845,14383,14582,14583,16406,16407,17281,18458,19177,19442,19443,20768,21575,21874,21875,23041,24610,24611,25569,25922,25923,27307,27688,27690,28766,28767,29164,29165,29166,30721,32363,32812,32813,32814,34562,34563,34567,36409,36916,36917,38354,38355,38884,38885,38886,38895,40961,41536,43150,43151,43748,43749,43750,46082,46083,46087,46089,48545,49220,49221,49222,49227,51138,51139,51844,51845,51846,51851,54614,54615,54619,55376,55380,55381,57532,57533,57534,58328,58330,58332,58333,58343,59007,61442,61443,61447,61449,64726,64727,65624,65626,65628,65629,68185,69124,69125,69126,69131,69134,69135,69147,71839,72818,72819,72825,73832,73834,73841,76708,76709,76710,76735,77768,77770,77772,77773,77777,77790,77791,80811,80839,81922,81923,81927,81929,83072,86300,86301,86302,86311,86319,87496,87498,87500,87501,87505,87515,88511,90913,92164,92165,92166,92171,92174,92175,92178,92179,92187,95785,97090,97091,98440,98442,98444,98445,98454,98455,102276,102277,102278,102283,102313,103688,103690,103692,103693,103697,103702,103703,103711,103721,107759,107785,109228,109229,109230,109238,109239,109243,110752,110760,110762,115064,115066,115068,115069,115081,115103,116656,116660,116661,116664,116666,116673,116686,116687,118014,118015,121217,121259,122884,122885,122886,122891,122894,122895,122898,122899,122905,124327,127713,129452,129453,129454,129467,129479,131248,131252,131253,131256,131258,131273,132767,136369,136370,136371,136377,136383,136417,138248,138250,138252,138253,138257,138262,138263,138268,138269,138270,138279,138281,138294,138295,143678,143679,143713,145636,145637,145638,145650,145651,145657,147664,147668,147669,147682,147683,153416,153418,153420,153421,153425,153441,153470,153471,155536,155540,155541,155544,155546,155554,155555,155567,155580,155581,155582,157353,161622,161623,161639,161678,161679,163844,163845,163846,163851,163854,163855,163858,163859,163865,163873,165769,166144,172600,172602,172604,172605,172622,172623,172638,172639,172655,174992,174996,174997,175000,175002,175010,175011,175030,175031,177022,177023,179439,181825,181826,181827,181889,184328,184330,184332,184333,184337,184342,184343,184348,184349,184350,184356,184357,184358,184374,184375,184393,186491,191570,191571,191617,194180,194181,194182,194187,194201,194209,194219,194239,196880,196884,196885,196888,196890,196908,196909,196910,199151,201799,204552,204554,204556,204557,204561,204566,204567,204575,204626,204627,207376,207380,207381,207384,207386,207394,207395,207403,207404,207405,207406,207419,207422,207423,207441,207442,207443,209803,215497,215518,215519,215570,215571,218456,218458,218460,218461,218473,218476,218477,218478,218486,218487,218497,218539,221025,221504,221520,221524,221525,226587,227103,230128,230132,230133,230136,230138,230162,230163,230175,230185,230206,230207,233312,233320,233322,233328,233329,233332,233333,233346,233347,233351,233372,233373,233374,236028,236029,236030,236031,242433,242434,242435,242459,242518,242519,242523,245768,245770,245772,245773,245777,245782,245783,245788,245789,245790,245796,245797,245798,245809,245810,245811,245833,245857,248654,248655,252007,254911,255403,255426,255427,255471,255489,258904,258906,258908,258909,258934,258935,258945,258958,258959,258983,258985,262496,262504,262506,262512,262513,262516,262517,262545,262546,262547,265467,265534,265535,269065,269159,272738,272739,272740,272741,272742,272754,272755,272766,272767,272799,272811,272834,272835,272839,276496,276500,276501,276504,276506,276514,276515,276524,276525,276526,276536,276537,276538,276540,276541,276558,276559,276562,276563,276588,276589,276590,279737,279739,287329,287356,287357,287358,287426,287427,291272,291274,291276,291277,291281,291291,291297,291300,291301,291302,291314,291315,291329,291359,291385,295328,295336,295338,295364,295365,295366,298651,298727,302699,302727,302751,306832,306836,306837,306840,306842,306850,306851,306863,306882,306883,306913,306940,306941,306942,311072,311080,311082,311088,311092,311093,311105,311108,311109,311110,311115,311129,311134,311135,311160,311162,311164,311165,314705,314706,314707,318891,319003,323244,323245,323246,323278,323279,323356,323357,323358,327688,327690,327692,327693,327697,327702,327703,327708,327709,327710,327716,327717,327718,327729,327730,327731,327745,327746,327747,327777,327809,331538,331539,332288,335983,336009,339881,340537,340569,340655,345200,345204,345205,345208,345210,345244,345245,345246,345263,345276,345277,345278,345279,345310,345311,345313,349984,349992,349994,350000,350004,350005,350017,350020,350021,350022,350027,350060,350061,350062,354044,354045,354046,354047,358063,358753,358878,358879,363650,363651,363652,363653,363654,363673,363689,363778,363779,363783,363785,368656,368660,368661,368664,368666,368674,368675,368684,368685,368686,368696,368698,368700,368701,368712,368714,368716,368717,368721,368745,368748,368749,368750,368785,368786,368787,372891,372982,372983,372985,372987,378011,382367,383105,383140,383141,383142,383207,383234,383235,383239,388360,388362,388364,388365,388369,388374,388375,388383,388395,388401,388402,388403,388418,388419,388438,388439,388475,388478,388479,388513,393760,393768,393770,393776,393780,393781,393816,393818,393820,393821,398201,398302,398303,403598,403599,403615,403623,403707,403739,409104,409108,409109,409112,409114,409122,409123,409131,409132,409133,409134,409150,409151,409177,409179,409199,409217,409252,409253,409254,409259,414752,414760,414762,414768,414772,414773,414788,414789,414790,414795,414806,414807,414808,414810,414812,414813,414838,414839,414844,414845,414846,414882,414883,414884,414885,414886,419503,419606,419607,419609,419611,425263,425337,430993,430994,430995,431019,431036,431037,431038,431140,431141,431142,436912,436916,436917,436920,436922,436929,436937,436945,436946,436947,436952,436954,436956,436957,436972,436973,436974,436993,436994,436995,437031,437035,437039,437078,437079,442050,442051,443008,443040,443048,443050,447977,448091,453174,453175,454049,454091,454127,454171,454203,454206,454207,460256,460264,460266,460272,460273,460276,460277,460295,460324,460325,460326,460327,460347,460350,460351,460369,460370,460371,460412,460413,460414,460417,460459,466624,466640,466644,466645,466656,466658,466659,466664,466666,466673,466689,466692,466693,466694,466702,466703,466744,466746,466747,466748,466749,472056,472058,472060,472061,472062,472063,477417,478337,478383,478505,484866,484867,484868,484869,484870,484875,484897,484918,484919,485036,485037,485038,485046,485047,491536,491540,491541,491544,491546,491554,491555,491564,491565,491566,491576,491578,491580,491581,491592,491594,491596,491597,491601,491618,491619,491620,491621,491622,491659,491665,491666,491667,491713,491714,491715,497308,497309,497310,497313,503975,504014,504015,504103,509822,509823,510806,510807,510811,510852,510853,510854,510859,510942,510943,510978,510979,510983,510985,517808,517812,517813,517816,517818,517825,517831,517833,517851,517868,517869,517870,517890,517891,517895,517916,517917,517918,517919,517966,517967,517970,517971,518017,523911,524992,525008,525012,525013,525024,525026,525027,525032,525034,525041,525090,525091,525092,525093,525094,530934,530935,531068,531069,531070,531071,537095,538130,538131,538153,538183,538318,538319,545476,545477,545478,545480,545482,545484,545485,545497,545508,545509,545510,545532,545533,545534,545569,545598,545599,545622,545623,545668,545669,545670,545675,545678,545679,552992,553000,553002,553008,553012,553013,553028,553029,553030,553035,553048,553050,553052,553053,553072,553074,553075,553076,553077,553080,553082,553116,553117,553118,553124,553125,553126,553176,553177,553178,553180,553181,559337,559474,559475,559478,559479,559481,566943,567017,573551,574657,574658,574659,574663,574712,574714,574716,574717,574811,574852,574853,574854,574859,582544,582548,582549,582552,582554,582562,582563,582575,582582,582583,582593,582594,582595,582600,582602,582604,582605,582609,582628,582629,582630,582657,582658,582659,582663,582713,582715,582718,582719,582770,582771,589401,590656,590672,590676,590677,590728,590730,590732,590733,597302,597303,597454,597455,604233,605398,605399,605423,605435,605454,605455,605487,605502,605503,605561,605607,605609,605611,613664,613672,613674,613680,613684,613685,613697,613700,613701,613702,613707,613726,613727,613764,613765,613766,613769,613771,613799,613801,613825,613826,613827,613880,613882,613884,613885,613889,613945,622144,622160,622164,622165,622176,622184,622186,622193,622210,622211,622216,622218,622220,622221,622230,622231,622257,622258,622259,622268,622269,622270,622320,622324,622325,622328,622329,622330,629255,629410,629411,629412,629413,629414,629417,637782,637783,637895,638006,638007,646488,646489,646490,646492,646493,646529,646556,646557,646558,646599,646635,646663,646712,646714,646716,646717,646729,655376,655380,655381,655384,655386,655394,655395,655404,655405,655406,655416,655418,655420,655421,655432,655434,655436,655437,655441,655458,655459,655460,655461,655462,655490,655491,655492,655493,655494,655495,655545,655547,655551,655553,655554,655555,655559,655617,655618,655619,663076,663077,663078,664576,671966,671967,672018,672019,672137,679762,679763,681074,681075,681081,681115,681137,681138,681139,681145,681191,681257,681305,681310,681311,681313,681327,690400,690408,690410,690416,690417,690420,690421,690433,690441,690443,690459,690488,690490,690491,690492,690493,690521,690523,690526,690527,690552,690554,690556,690557,690558,690559,690620,690621,690622,690626,690627,690689,698439,699968,699984,699988,699989,700000,700008,700010,700017,700034,700035,700040,700042,700044,700045,700054,700055,700120,700121,700122,700124,700125,707913,708088,708090,708092,708093,708094,708095,716126,716127,717506,717507,717537,717575,717577,717756,717757,717758,727300,727301,727302,727304,727306,727308,727309,727313,727329,727345,727346,727347,727377,727378,727379,727425,727465,727467,727497,727556,727557,727558,727563,727566,727567,727570,727571,737312,737320,737322,737328,737332,737333,737348,737349,737350,737355,737368,737370,737372,737373,737392,737396,737397,737400,737402,737424,737428,737429,737432,737433,737434,737442,737443,737489,737490,737491,737496,737498,737500,737501,737569,737570,737571,737572,737573,737574,737575,745782,745783,745964,745965,745966,745970,745971,745974,745975,745983,755963,756022,756023,756155,764734,764735,766209,766210,766211,766217,766239,766255,766280,766282,766284,766285,766289,766414,766415,766468,766469,766470,766475,766478,766479,766495,776720,776724,776725,776728,776730,776738,776739,776747,776748,776749,776750,776763,776766,776767,776777,776790,776791,776793,776802,776803,776804,776805,776806,776836,776837,776838,776839,776843,776863,776876,776877,776878,776879,776895,776950,776951,776953,776956,776957,776958,777026,777027,777031,785867,787520,787536,787540,787541,787552,787560,787562,787569,787632,787636,787637,787640,787642,796402,796403,796604,796605,796606,796607,805643,807196,807197,807198,807199,807207,807230,807231,807246,807247,807273,807275,807279,807337,807414,807415,807478,807479,807481,818208,818216,818218,818224,818228,818229,818244,818245,818246,818251,818262,818263,818264,818266,818268,818269,818300,818301,818302,818331,818353,818354,818355,818358,818359,818361,818395,818398,818399,818401,818433,818434,818435,818439,818504,818506,818508,818509,818513,818518,818519,818523,818593,829504,829520,829524,829525,829536,829544,829546,829553,829576,829578,829580,829581,829590,829591,829612,829613,829614,829616,829620,829621,829624,829626,829641,829676,829677,829678,829688,829690,829692,829693,829764,829765,829766,829768,829770,829771,829772,829773,839006,839007,839212,839213,839214,839217,839218,839219,839222,839223,850377,850415,850459,850526,850527,850674,850675,860327,861985,861986,861987,861988,861989,861990,861995,862038,862039,862072,862074,862076,862077,862111,862183,862217,862280,862282,862284,862285,862289,862305,873824,873832,873834,873840,873841,873844,873845,873858,873859,873863,873873,873874,873875,873890,873891,873892,873893,873894,873904,873908,873909,873912,873914,873921,873944,873945,873946,873948,873949,873986,873987,873988,873989,873990,873993,873995,874062,874063,874070,874071,874073,874078,874079,874155,874156,874157,874158,883963,884100,884101,884102,884107,886016,886080,886096,886100,886101,895954,895955,896025,896182,896183,906348,906349,906350,908098,908099,908103,908135,908153,908155,908182,908183,908185,908193,908231,908254,908255,908342,908343,908406,908407,908411,908412,908413,908414,908417,908443,920512,920528,920532,920533,920544,920546,920547,920552,920554,920561,920577,920590,920591,920623,920648,920650,920652,920653,920654,920655,920657,920694,920695,920697,920699,920700,920701,920702,920738,920739,920740,920741,920742,920745,920751,920815,920824,920826,920828,920829,920834,920835,920839,920918,920919,920923,931399,933248,933280,933288,933290,933312,933316,933317,933318,933328,933332,933333,933346,933347,933378,933379,933384,933386,933388,933389,933393,933404,933405,933406,933415,933488,933492,933493,933494,933495,933496,933498,933499,943883,944112,944116,944117,944120,944122,944124,944125,944126,954834,954835,956674,956675,956679,956766,956767,956769,956775,956843,956935,957009,957010,957011,969732,969733,969734,969736,969738,969739,969740,969741,969745,969750,969751,969771,969793,969794,969795,969836,969837,969838,969895,969899,969919,969953,969995,970072,970074,970076,970077,970089,970092,970093,970094,981243,983072,983080,983082,983088,983092,983093,983108,983109,983110,983115,983128,983130,983132,983133,983152,983156,983157,983160,983162,983184,983188,983189,983192,983194,983202,983203,983236,983237,983238,983240,983242,983243,983244,983245,983257,983318,983319,983321,983327,983330,983331,983332,983333,983334,983339,983425,983426,983427,983428,983429,983430,983431,983433,994377,994459,994616,994618,994620,994621,994626,994627,994633,994663,1005915,1007899,1007919,1007950,1007951,1008028,1008029,1008030,1008206,1008207,1019644,1019645,1019646,1021611,1021612,1021613,1021614,1021622,1021623,1021673,1021675,1021704,1021706,1021708,1021709,1021713,1021718,1021719,1021723,1021787,1021807,1021884,1021885,1021886,1021887,1021956,1021957,1021958,1021963,1021966,1021967,1021970,1021971,1021991,1021993,1021999,1035616,1035624,1035626,1035632,1035633,1035636,1035637,1035650,1035651,1035655,1035662,1035663,1035665,1035666,1035667,1035689,1035702,1035703,1035721,1035723,1035736,1035737,1035738,1035740,1035741,1035780,1035781,1035782,1035785,1035787,1035790,1035791,1035817,1035832,1035834,1035835,1035836,1035837,1035838,1035839,1035932,1035933,1035934,1035937,1035940,1035941,1035942,1036034,1036035,1036039,1036041,1047659,1047822,1047823,1047855"
324,B,"649,1298,2596,5192"
