mr,taxonomy,n_values
432,A,"3075,4613,6150,9226,12300,12301,12783,13840,16401,18452,18453,19175,24600,24602,25566,25567,27303,27680,28763,32359,32802,32803,33627,34089,35911,36904,36906,37831,38350,38351,40955,43145,43737,45451,46075,47881,48539,49200,49204,49205,50441,51132,51133,51134,51135,51835,53867,54606,54607,55360,56747,57526,57527,58315,60601,60603,61433,61435,63841,64718,64719,65604,65605,65606,65611,67254,67255,68177,68178,68179,69113,69115,71822,71823,72809,72811,73808,73812,73813,75662,75663,76700,76701,76702,76703,77753,77755,80801,81910,81911,81913,85121,86290,86291,87473,87474,87475,87481,89673,90902,90903,90905,90907,92150,92151,92153,95762,95763,97078,97079,97081,98400,98408,98410,98417,100882,100883,102264,102266,102268,102269,102270,102271,103670,103671,103673,106279,107734,107735,107739,109212,109213,109214,109217,110720,113494,113495,115052,115053,115054,115055,116630,116631,116633,116641,119563,121202,121203,121206,121207,121209,122866,122867,122870,122871,127682,127683,129436,129437,129438,129441,131208,131210,131212,131213,131222,131223,134508,134509,134510,136354,136355,136356,136357,136358,136361,138226,138227,138230,138231,141705,143644,143645,143646,143655,145617,145618,145619,145622,145623,147616,147624,147626,151324,151325,151326,153400,153402,153404,153405,153406,153407,155506,155507,155510,155511,155521,159417,159419,159423,161602,161603,161609,163820,163821,163822,163826,163827,170242,170243,170247,172580,172581,172582,172583,174946,174947,174948,174949,174950,174962,174963,179345,179346,179347,181804,181805,181806,181809,181810,181811,181814,181815,184300,184301,184302,184306,184307,191524,191525,191526,191535,194156,194157,194158,194162,194163,196800,196816,196820,196821,196834,196835,201764,201765,201766,204528,204532,204533,204536,204538,204540,204541,204542,204571,207340,207341,207342,207346,207347,207361,212558,212559,215468,215469,215470,215478,215479,215483,215487,218424,218426,218428,218429,218434,218435,221440,226988,226989,226990,230104,230106,230108,230109,230110,230111,230139,230143,233260,233261,233262,233265,233266,233267,233282,233283,239126,239127,239129,239135,242404,242405,242406,242412,242413,242414,242418,242419,242427,245732,245733,245734,245740,245741,245742,255364,255365,255366,255371,255387,255391,258872,258874,258875,258876,258877,258882,258883,258907,262416,262420,262421,262424,262426,262444,262445,262446,269016,269018,269020,269021,269055,272708,272709,272710,272712,272714,272715,272716,272717,272721,272722,272723,272731,272761,276452,276453,276454,276460,276461,276462,276481,283410,283411,283419,287288,287290,287292,287293,287303,287305,287310,287311,291234,291235,291236,291237,291238,291244,291245,291246,291271,294591,295232,295248,295252,295253,302648,302650,302652,302653,306800,306804,306805,306808,306810,306812,306813,306814,306823,306857,311012,311013,311014,311020,311021,311022,311042,311043,311047,318834,318835,318838,318839,318843,318846,318847,318879,323204,323205,323206,323211,323217,323218,323219,323225,323231,327640,327642,327644,327645,327652,327653,327654,335919,340484,340485,340486,340491,340494,340495,340507,340521,345160,345162,345164,345165,345166,345167,345169,345177,345209,345215,349892,349893,349894,349896,349898,349900,349901,349924,349925,349926,358690,358691,358692,358693,358694,358699,358703,363608,363610,363612,363613,363618,363619,363620,363621,363622,363628,363629,363630,363641,363681,368600,368602,368604,368605,368612,368613,368614,368641,377881,383048,383050,383052,383053,383057,383070,383071,383073,383081,383087,388312,388313,388314,388316,388317,388324,388325,388326,388361,393600,393632,393640,393642,393668,393669,393670,403528,403530,403532,403533,403537,403563,403583,409056,409064,409066,409072,409073,409076,409077,409080,409082,409084,409085,409097,409142,409143,414680,414682,414684,414685,414692,414693,414694,414722,414723,414727,414729,425113,425116,425117,425118,425129,430936,430938,430940,430941,430955,430956,430957,430958,430966,430967,430974,430975,436848,436852,436853,436856,436858,436868,436869,436870,436875,436907,441887,442880,447855,453976,453978,453980,453981,453993,454009,454011,460208,460212,460213,460216,460218,460220,460221,460222,460225,460235,460278,460279,460286,460287,466520,466522,466524,466525,466530,466531,466532,466533,466534,466564,466565,466566,466571,471879,478252,478253,478254,478257,478258,478259,478265,478270,478271,478279,478299,478311,478319,484808,484810,484812,484813,484817,484824,484825,484826,484827,484828,484829,484836,484837,484838,484847,484854,484855,490431,491464,491466,491468,491469,491473,491480,491482,491484,491485,491521,503841,503879,503899,510728,510730,510732,510733,510737,510742,510743,510761,510763,510774,510775,510782,510783,517744,517748,517749,517750,517751,517752,517754,517755,517764,517765,517766,517771,517791,517814,517815,517823,524832,524840,524842,524848,524852,524853,524888,524890,524892,524893,530791,538032,538036,538037,538040,538042,538049,538055,538087,538107,538110,538111,545416,545418,545420,545421,545424,545428,545429,545430,545431,545432,545434,545442,545443,545444,545445,545446,545451,545462,545463,545515,545522,545523,552904,552906,552908,552909,552913,552920,552922,552924,552925,552962,552963,552967,552969,566817,566820,566821,566822,566823,566838,566839,566887,566911,574576,574580,574581,574584,574586,574606,574607,574609,574610,574611,574620,574621,574622,574631,574633,582468,582469,582470,582472,582474,582475,582476,582477,582488,582490,582492,582493,582542,582543,589182,589183,590464,590496,590504,590506,597147,597223,605296,605300,605301,605304,605306,605323,605345,605371,605375,613600,613608,613610,613616,613617,613620,613621,613624,613626,613628,613629,613633,613646,613647,613659,613705,613714,613715,622024,622026,622028,622029,622033,622040,622041,622042,622044,622045,622084,622085,622086,622091,622094,622095,637668,637669,637670,637676,637677,637678,637686,637687,637692,637693,637694,637705,637723,637758,637759,646408,646410,646412,646413,646417,646422,646423,646433,646434,646435,646436,646437,646438,646449,646450,646451,646462,646463,646473,655280,655284,655285,655288,655290,655297,655304,655306,655308,655309,655313,655361,662831,671783,671787,671791,671838,671839,671865,680968,680970,680972,680973,680977,680982,680983,680988,680989,680990,681014,681015,681017,681019,681033,681042,681043,690320,690324,690325,690328,690330,690332,690333,690334,690338,690339,690353,690354,690355,690361,690367,690418,690419,690430,690431,699784,699786,699788,699789,699792,699796,699797,699800,699802,699848,699850,699852,699853,699857,707721,707819,707823,717380,717381,717382,717384,717386,717387,717388,717389,717398,717399,717406,717407,717419,717439,717449,717467,717471,717479,717481,727216,727220,727221,727224,727226,727236,727237,727238,727240,727241,727242,727244,727245,727256,727257,727258,727260,727261,727271,727282,727283,727353,727362,727363,735559,735647,737200,737204,737205,737208,737210,737217,737224,737226,737228,737229,737233,737282,737283,737287,737289,755755,755761,755762,755763,755785,755819,755849,755881,766096,766100,766101,766104,766106,766114,766115,766123,766140,766141,766142,766145,766146,766147,766161,766162,766163,766174,766175,766177,776624,776625,776626,776627,776628,776629,776632,776633,776634,776648,776650,776652,776653,776657,776667,776687,776722,776723,776735,785535,785577,787200,787264,787280,787284,787285,787336,787338,787340,787341,796187,796297,807056,807060,807061,807064,807066,807074,807075,807083,807097,807099,807126,807127,807131,807151,807161,807163,807166,807167,818112,818128,818132,818133,818144,818146,818147,818152,818154,818160,818161,818164,818165,818168,818170,818177,818194,818195,818273,818284,818285,818286,827559,829360,829364,829365,829368,829370,829377,829384,829386,829387,829388,829389,829393,829444,829445,829446,829451,829454,829455,829458,829459,850225,850226,850227,850232,850234,850235,850236,850237,850249,850257,850258,850259,850273,850297,850331,850345,850347,850367,861872,861876,861877,861880,861882,861889,861895,861897,861910,861911,861912,861913,861914,861915,861916,861917,861932,861933,861934,861947,861948,861949,861950,861951,861963,862059,873696,873704,873706,873712,873713,873716,873717,873729,873736,873738,873740,873741,873745,873750,873751,873759,873814,873815,873819,883774,883775,885760,895710,895711,895721,895785,895835,907952,907956,907957,907960,907962,907969,907977,907985,907986,907987,908018,908019,908022,908023,908025,908043,908057,908059,908063,920416,920424,920426,920432,920433,920436,920437,920440,920442,920444,920445,920450,920451,920455,920470,920471,920473,920481,920489,920556,920557,920558,920572,920573,920574,930943,933040,933044,933045,933048,933050,933060,933061,933062,933064,933066,933068,933069,933128,933130,933132,933133,933137,933142,933143,943707,943758,943759,956504,956506,956508,956509,956514,956515,956516,956517,956518,956530,956531,956540,956541,956542,956558,956559,956585,956598,956599,956622,956623,956635,956638,956639,956641,969616,969620,969621,969624,969626,969634,969635,969648,969649,969650,969651,969652,969653,969654,969655,969656,969658,969672,969674,969675,969676,969677,969681,969691,969694,969695,969708,969709,969710,969817,969831,980745,980862,980863,982928,982932,982933,982936,982938,982946,982947,982959,982960,982964,982965,982968,982970,982977,983042,983043,983047,983049,994247,1007673,1007675,1007681,1007682,1007683,1007687,1007713,1007758,1007759,1007775,1007798,1007799,1007815,1007841,1021456,1021460,1021461,1021464,1021466,1021474,1021475,1021483,1021484,1021485,1021486,1021497,1021521,1021522,1021523,1021526,1021527,1021529,1021548,1021549,1021550,1021551,1021564,1021565,1021566,1021567,1021569,1035488,1035496,1035498,1035500,1035501,1035502,1035504,1035505,1035508,1035509,1035510,1035511,1035528,1035530,1035532,1035533,1035537,1035542,1035543,1035551,1035582,1035583,1035628,1035629,1035630,1035646,1035647,1047435"
432,B,"865,1730,3460,6920"
